checkpoint,tail_start,tail_end,selection_index,token_id,token,wikitext_train_count,frequency_bin,candidate_period,absolute_median,absolute_p95,absolute_max,normalized_median,normalized_p95,normalized_max
step29000,512,1024,2,19211, cabinet,33,5,20,26.6130428314209,30.108367919921875,30.19938850402832,0.9078638553619385,1.0271016359329224,1.0302066802978516
step29000,512,1024,2,19211, cabinet,33,5,21,25.64830780029297,29.78706932067871,29.89518928527832,0.8749533891677856,1.0161410570144653,1.0198293924331665
step29000,512,1024,2,19211, cabinet,33,5,22,24.589065551757812,29.168048858642578,29.30436134338379,0.8388189077377319,0.9950239658355713,0.9996741414070129
step29000,512,1024,2,19211, cabinet,33,5,23,23.308725357055664,28.262115478515625,28.40516471862793,0.7951420545578003,0.9641194939613342,0.9689993858337402
step29000,512,1024,2,19211, cabinet,33,5,24,21.85147476196289,26.998647689819336,27.177824020385742,0.7454301714897156,0.9210181832313538,0.9271305203437805
step29000,512,1024,2,19211, cabinet,33,5,25,20.189428329467773,25.430145263671875,25.605501174926758,0.6887319087982178,0.8675110936164856,0.8734930753707886
step29000,512,1024,2,19211, cabinet,33,5,26,18.32804298400879,23.470544815063477,23.675527572631836,0.6252335906028748,0.8006622791290283,0.8076549768447876
step29000,512,1024,2,19211, cabinet,33,5,27,16.269508361816406,21.182693481445312,21.382434844970703,0.5550097823143005,0.722615659236908,0.7294295430183411
step29000,512,1024,2,19211, cabinet,33,5,28,14.027670860290527,18.528196334838867,18.729703903198242,0.4785328507423401,0.6320615410804749,0.6389356255531311
step29000,512,1024,2,19211, cabinet,33,5,29,11.631163597106934,15.555211067199707,15.733667373657227,0.3967796266078949,0.530642569065094,0.5367303490638733
step29000,512,1024,2,19211, cabinet,33,5,30,9.086220741271973,12.27309513092041,12.425861358642578,0.3099627196788788,0.4186781346797943,0.42388954758644104
step29000,512,1024,2,19211, cabinet,33,5,31,6.419760704040527,8.735873222351074,8.855001449584961,0.21900047361850739,0.2980111241340637,0.30207502841949463
step29000,512,1024,2,19211, cabinet,33,5,32,3.666416645050049,5.017355442047119,5.086965560913086,0.12507428228855133,0.1711595207452774,0.17353416979312897
step29000,512,1024,2,19211, cabinet,33,5,33,0.8637401461601257,1.184883952140808,1.201396107673645,0.029465194791555405,0.0404205322265625,0.04098381847143173
step29000,512,1024,2,19211, cabinet,33,5,34,1.9528911113739014,2.6746742725372314,2.712352991104126,0.06661994010210037,0.0912424847483635,0.092527836561203
step29000,512,1024,2,19211, cabinet,33,5,35,4.741137981414795,6.474729537963867,6.562708377838135,0.16173678636550903,0.22087565064430237,0.22387690842151642
step29000,512,1024,2,19211, cabinet,33,5,36,7.472264766693115,10.136638641357422,10.263370513916016,0.2549050450325012,0.3457961678504944,0.350119411945343
step29000,512,1024,2,19211, cabinet,33,5,37,10.10074234008789,13.577119827270508,13.739274024963379,0.34457162022590637,0.46316298842430115,0.46869462728500366
step29000,512,1024,2,19211, cabinet,33,5,38,12.600584983825684,16.740814208984375,16.93109703063965,0.4298499822616577,0.571087658405304,0.5775789022445679
step29000,512,1024,2,19211, cabinet,33,5,39,14.944876670837402,19.61142349243164,19.79717445373535,0.5098219513893127,0.6690141558647156,0.6753507852554321
step29000,512,1024,2,19211, cabinet,33,5,40,17.112958908081055,22.110048294067383,22.312437057495117,0.5837827920913696,0.7542510032653809,0.7611551880836487
step29000,512,1024,2,19211, cabinet,33,5,41,19.10297203063965,24.291322708129883,24.46501922607422,0.6516691446304321,0.8286618590354919,0.8345872759819031
step29000,512,1024,2,19211, cabinet,33,5,42,20.893640518188477,26.0806941986084,26.25547218322754,0.7127550840377808,0.889703631401062,0.8956658840179443
step29000,512,1024,2,19211, cabinet,33,5,43,22.466045379638672,27.54960823059082,27.69247817993164,0.7663952708244324,0.9398134350776672,0.9446871876716614
step29000,512,1024,2,19211, cabinet,33,5,44,23.860307693481445,28.65306854248047,28.79070472717285,0.813958466053009,0.977456271648407,0.9821515083312988
step29000,512,1024,2,19211, cabinet,33,5,45,25.025314331054688,29.460346221923828,29.568212509155273,0.8537008762359619,1.004995346069336,1.0086749792099
step29000,512,1024,2,19211, cabinet,33,5,46,26.014907836914062,29.954755783081055,30.045644760131836,0.887459397315979,1.0218613147735596,1.0249619483947754
step29000,512,1024,2,19211, cabinet,33,5,47,26.98267364501953,30.17009735107422,30.24491310119629,0.9204732775688171,1.0292073488235474,1.0317596197128296
step29000,512,1024,2,19211, cabinet,33,5,48,27.802865982055664,30.130220413208008,30.18932342529297,0.948452889919281,1.027847170829773,1.0298632383346558
step29000,512,1024,2,19211, cabinet,33,5,49,28.368309020996094,29.857967376708984,29.903318405151367,0.9677421450614929,1.0185596942901611,1.0201066732406616
step29000,512,1024,2,19211, cabinet,33,5,50,28.588363647460938,29.419218063354492,29.459131240844727,0.9752489924430847,1.0035922527313232,1.0049538612365723
step29000,512,1024,2,19211, cabinet,33,5,51,28.333837509155273,29.878480911254883,29.934144973754883,0.9665662050247192,1.0192593336105347,1.021158218383789
step29000,512,1024,2,19211, cabinet,33,5,52,27.734975814819336,30.13265609741211,30.20261573791504,0.9461369514465332,1.0279301404953003,1.030316710472107
step29000,512,1024,2,19211, cabinet,33,5,53,26.903690338134766,30.154020309448242,30.238502502441406,0.9177788496017456,1.0286589860916138,1.0315409898757935
step29000,512,1024,2,19211, cabinet,33,5,54,25.938674926757812,29.914474487304688,30.017841339111328,0.8848588466644287,1.0204871892929077,1.0240134000778198
step29000,512,1024,2,19211, cabinet,33,5,55,24.923839569091797,29.393224716186523,29.5173397064209,0.8502392172813416,1.0027055740356445,1.0069395303726196
step29000,512,1024,2,19211, cabinet,33,5,56,23.72636604309082,28.568462371826172,28.714855194091797,0.8093892335891724,0.9745700359344482,0.9795640110969543
step29000,512,1024,2,19211, cabinet,33,5,57,22.312549591064453,27.428316116333008,27.590133666992188,0.7611590027809143,0.9356756806373596,0.9411958456039429
step29000,512,1024,2,19211, cabinet,33,5,58,20.715024948120117,25.945789337158203,26.125106811523438,0.7066618800163269,0.8851014971733093,0.8912186622619629
step29000,512,1024,2,19211, cabinet,33,5,59,18.894638061523438,24.117488861083984,24.30579376220703,0.6445621252059937,0.8227318525314331,0.8291555643081665
step29000,512,1024,2,19211, cabinet,33,5,60,16.923860549926758,21.923954010009766,22.124197006225586,0.5773320198059082,0.7479026317596436,0.754733681678772
step29000,512,1024,2,19211, cabinet,33,5,61,14.735870361328125,19.37933349609375,19.580747604370117,0.5026920437812805,0.6610967516899109,0.6679677367210388
step29000,512,1024,2,19211, cabinet,33,5,62,12.384750366210938,16.498565673828125,16.687320709228516,0.4224871098995209,0.5628237724304199,0.5692628026008606
step29000,512,1024,2,19211, cabinet,33,5,63,9.87098217010498,13.301791191101074,13.470566749572754,0.33673369884490967,0.45377054810523987,0.4595280885696411
step29000,512,1024,2,19211, cabinet,33,5,64,7.247959613800049,9.841682434082031,9.974162101745605,0.24725322425365448,0.33573415875434875,0.3402535021305084
step29000,512,1024,2,19211, cabinet,33,5,65,4.514019012451172,6.1708197593688965,6.258872985839844,0.15398895740509033,0.21050822734832764,0.21351201832294464
step29000,512,1024,2,19211, cabinet,33,5,66,1.7269628047943115,2.3662657737731934,2.4000933170318604,0.0589127354323864,0.08072159439325333,0.08187557011842728
step29000,512,1024,2,19211, cabinet,33,5,67,1.0890836715698242,1.4928160905838013,1.5147864818572998,0.037152450531721115,0.05092517286539078,0.05167466029524803
step29000,512,1024,2,19211, cabinet,33,5,68,3.891789674758911,5.3200578689575195,5.394144058227539,0.13276253640651703,0.18148577213287354,0.18401309847831726
step29000,512,1024,2,19211, cabinet,33,5,69,6.640015125274658,9.029316902160645,9.149313926696777,0.22651411592960358,0.30802154541015625,0.3121150732040405
step29000,512,1024,2,19211, cabinet,33,5,70,9.30811882019043,12.542686462402344,12.701090812683105,0.3175324499607086,0.4278748631477356,0.4332785904407501
step29000,512,1024,2,19211, cabinet,33,5,71,11.847314834594727,15.802401542663574,15.98532772064209,0.4041532874107361,0.5390750765800476,0.5453153848648071
step29000,512,1024,2,19211, cabinet,33,5,72,14.238719940185547,18.764604568481445,18.954999923706055,0.4857324957847595,0.6401262283325195,0.6466212868690491
step29000,512,1024,2,19211, cabinet,33,5,73,16.463199615478516,21.395198822021484,21.579540252685547,0.5616172552108765,0.7298649549484253,0.7361534833908081
step29000,512,1024,2,19211, cabinet,33,5,74,18.505922317504883,23.663602828979492,23.843656539916992,0.6313016414642334,0.8072481751441956,0.8133904337882996
step29000,512,1024,2,19211, cabinet,33,5,75,20.356609344482422,25.576160430908203,25.744522094726562,0.6944350600242615,0.8724921941757202,0.8782355785369873
step29000,512,1024,2,19211, cabinet,33,5,76,22.005598068237305,27.132051467895508,27.288558959960938,0.750687837600708,0.9255690574645996,0.9309080839157104
step29000,512,1024,2,19211, cabinet,33,5,77,23.450424194335938,28.352802276611328,28.48873519897461,0.7999758720397949,0.9672131538391113,0.9718502759933472
step29000,512,1024,2,19211, cabinet,33,5,78,24.69186782836914,29.244455337524414,29.362628936767578,0.8423258662223816,0.9976305365562439,1.0016618967056274
step29000,512,1024,2,19211, cabinet,33,5,79,25.732025146484375,29.83247947692871,29.929758071899414,0.8778092861175537,1.0176901817321777,1.0210086107254028
step29000,512,1024,2,19211, cabinet,33,5,80,26.695579528808594,30.1306095123291,30.211854934692383,0.9106794595718384,1.027860403060913,1.0306318998336792
step29000,512,1024,2,19211, cabinet,33,5,81,27.567724227905273,30.166778564453125,30.232038497924805,0.9404314160346985,1.0290942192077637,1.0313204526901245
step29000,512,1024,2,19211, cabinet,33,5,82,28.224390029907227,29.963542938232422,30.013988494873047,0.9628325700759888,1.0221612453460693,1.0238820314407349
step29000,512,1024,2,19211, cabinet,33,5,83,28.55902099609375,29.546180725097656,29.583446502685547,0.9742479920387268,1.0079234838485718,1.0091947317123413
step29000,512,1024,2,19211, cabinet,33,5,84,28.45093536376953,29.758255004882812,29.809226989746094,0.9705607891082764,1.0151580572128296,1.0168968439102173
step29000,512,1024,2,19211, cabinet,33,5,85,27.94774627685547,30.08283805847168,30.14350700378418,0.9533952474594116,1.0262306928634644,1.0283002853393555
step29000,512,1024,2,19211, cabinet,33,5,86,27.174781799316406,30.168167114257812,30.253713607788086,0.9270267486572266,1.0291415452957153,1.032059907913208
step29000,512,1024,2,19211, cabinet,33,5,87,26.232423782348633,30.009037017822266,30.114351272583008,0.8948796391487122,1.0237131118774414,1.0273057222366333
step29000,512,1024,2,19211, cabinet,33,5,88,25.259244918823242,29.584001541137695,29.70172691345215,0.8616811037063599,1.0092136859893799,1.0132297277450562
step29000,512,1024,2,19211, cabinet,33,5,89,24.10466766357422,28.854434967041016,28.994253158569336,0.8222944140434265,0.9843255877494812,0.9890952706336975
