checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step29000,512,768,768,3,6574, miles,404,7,-0.0005336273461580276,0.9994665150075919,0.0016626908909529448
step29000,768,1024,1024,0,21825, clones,2,0,-0.0014750661794096231,0.9985260211959912,0.002354091964662075
step29000,768,1024,1024,1,23778, motive,8,2,-0.0007509534480050206,0.9992493284469678,0.000752018007915467
step29000,768,1024,1024,2,19211, cabinet,33,5,-0.0014901026152074337,0.9985110070364611,0.002578534884378314
step29000,768,1024,1024,3,6574, miles,404,7,-0.0006684745894744992,0.9993317487898866,0.0016626908909529448
step33000,0,256,256,0,21825, clones,2,0,0.03546319529414177,1.0360995140884572,0.011851107701659203
step33000,0,256,256,1,23778, motive,8,2,0.038011789321899414,1.0387434788875551,0.023671410977840424
step33000,0,256,256,2,19211, cabinet,33,5,0.01671634428203106,1.0168568441547334,0.018199965357780457
step33000,0,256,256,3,6574, miles,404,7,0.03905313089489937,1.03982572905405,0.020942233502864838
step33000,256,512,512,0,21825, clones,2,0,0.01322728767991066,1.0133151552386714,0.011851107701659203
step33000,256,512,512,1,23778, motive,8,2,0.021689634770154953,1.021926564772842,0.023671410977840424
step33000,256,512,512,2,19211, cabinet,33,5,0.029775958508253098,1.0302236952422428,0.018199965357780457
step33000,256,512,512,3,6574, miles,404,7,0.0021248292177915573,1.002127088267142,0.020942233502864838
step33000,512,768,768,0,21825, clones,2,0,-0.015511047095060349,0.9846086296265241,0.011851107701659203
step33000,512,768,768,1,23778, motive,8,2,0.01634746417403221,1.01648181506688,0.023671410977840424
step33000,512,768,768,2,19211, cabinet,33,5,0.010556409135460854,1.0106123246046943,0.018199965357780457
step33000,512,768,768,3,6574, miles,404,7,0.019678154960274696,1.0198730461186638,0.020942233502864838
step33000,768,1024,1024,0,21825, clones,2,0,0.014225003309547901,1.0143266601200087,0.011851107701659203
step33000,768,1024,1024,1,23778, motive,8,2,0.018636755645275116,1.018811503867674,0.023671410977840424
step33000,768,1024,1024,2,19211, cabinet,33,5,0.015751151368021965,1.0158758546324187,0.018199965357780457
step33000,768,1024,1024,3,6574, miles,404,7,0.022912822663784027,1.0231773377843034,0.020942233502864838
step37000,0,256,256,0,21825, clones,2,0,0.009807845577597618,1.009856100123724,0.004480530042201281
step37000,0,256,256,1,23778, motive,8,2,0.018686814233660698,1.0188625054099105,0.012295432388782501
step37000,0,256,256,2,19211, cabinet,33,5,0.021403973922133446,1.0216346820554505,0.010523956269025803
step37000,0,256,256,3,6574, miles,404,7,0.006527109071612358,1.006548457069658,0.0034063118509948254
step37000,256,512,512,0,21825, clones,2,0,-0.004229824058711529,0.9957791090474781,0.004480530042201281
step37000,256,512,512,1,23778, motive,8,2,0.012351619079709053,1.0124282153644948,0.012295432388782501
step37000,256,512,512,2,19211, cabinet,33,5,-0.0018836522940546274,0.99811812066554,0.010523956269025803
step37000,256,512,512,3,6574, miles,404,7,-0.0007127547287382185,0.9992874992205754,0.0034063118509948254
