checkpoint,window_start,window_end,window_transitions,window_states,full_dimensional_radius_rms,full_dimensional_radius_p95,full_dimensional_radius_max,projection_2d_radius_rms,projection_2d_radius_p95,projection_2d_radius_max
step16000,896,1024,128,129,0.00016794467915285998,0.000336632210525142,0.0004940949889346757,6.7964557617055175e-06,1.4470634741341196e-05,2.5145172031869792e-05
step16000,1024,1152,128,129,5.621419927024895e-05,9.611896772125257e-05,0.0001349823455907611,2.3482127570293025e-06,4.292027949230751e-06,7.1128336846291495e-06
step16000,1152,1280,128,129,4.6625774967325076e-05,6.829378491651105e-05,7.587608945000685e-05,1.9765318914663092e-06,3.3226864881351315e-06,4.054684979419095e-06
step16000,1280,1408,128,129,3.70020739620983e-05,5.051269195283415e-05,5.834307788445819e-05,1.749664914645523e-06,2.972272553195635e-06,4.3593426316951744e-06
step16000,1408,1536,128,129,3.324116562134064e-05,4.759877712981236e-05,5.217064256873765e-05,1.5730792694426034e-06,2.909113737773038e-06,4.547697764055668e-06
step16000,1536,1664,128,129,4.2987298600214704e-05,5.6823265652923095e-05,6.379068988586958e-05,1.8880761942814318e-06,2.966960095149571e-06,3.863545135758591e-06
step16000,1664,1792,128,129,4.1122010140014564e-05,5.471228431890702e-05,6.010722571436723e-05,1.6784539863073246e-06,2.792309528193697e-06,4.235499960774916e-06
step16000,1792,1920,128,129,4.00168234945373e-05,5.768118091203425e-05,6.296594644913943e-05,1.6725441967399475e-06,2.887938414776713e-06,4.220330859619817e-06
step16000,1920,2048,128,129,3.965997579193593e-05,4.975202774926527e-05,6.463741107344561e-05,1.7324402897846389e-06,2.833819668111269e-06,4.020090494963859e-06
step21000,0,512,512,513,36.71631331354845,43.94818622736693,48.88507039127412,2.068092093140166,3.364923910077827,5.330221491125927
step21000,512,640,128,129,36.31638444603287,43.083794490289684,45.40041593251527,1.8965490473089461,3.273141004205605,4.235174291932632
step21000,640,768,128,129,36.477913604783474,43.91486900061568,46.78972998701914,2.1169527153014016,3.5620463376107976,5.260768983539371
step21000,768,896,128,129,35.97382309585556,43.69782111258504,48.36828319114846,1.889872869598419,3.1182732811608993,4.167827434032636
step21000,896,1024,128,129,36.05515175127994,44.142785420798376,49.209378660820946,2.1988936218235278,3.7808094727832664,4.93481186964421
step21000,1024,1152,128,129,37.36913387946722,42.9953690050261,47.474467941811994,2.1913904692437356,3.4608300479611445,4.234423108955297
step21000,1152,1280,128,129,36.82103425352849,43.050380955451146,45.149426690403,2.1492511313998186,3.30793940840479,3.6091379742022163
step21000,1280,1408,128,129,36.1468450533902,44.76136105404615,47.61603582254216,1.9639297054257279,3.0959678222429137,3.781894576655352
step21000,1408,1536,128,129,35.98896689291004,42.83081135900592,45.635582300772164,1.9728435672774267,3.1027989162925134,3.893976559540018
step21000,1536,1664,128,129,36.209632995405094,44.761651376518536,48.830527194521665,2.211239660878306,3.575970347192855,4.88149445146096
step21000,1664,1792,128,129,36.2151553061666,43.57540003835832,48.09615092114262,1.944740601527001,2.865368847158374,3.135448395512921
step21000,1792,1920,128,129,37.26881830611361,44.1706363089944,45.738265361851866,2.0114522132786123,3.2648087072472576,4.211240727929404
step21000,1920,2048,128,129,36.79200792102624,46.38851772502663,48.45988556945965,2.0212131654327274,3.4280744269438426,4.2117115045342866
step29000,0,512,512,513,17.309126426037604,30.291615330274087,64.95345458514193,0.8442309311503532,1.263071676835343,2.8751638650674973
step29000,512,640,128,129,14.601757215799106,16.50224379072656,16.577234069519466,0.7949223895226412,1.2100235717644319,1.2305638674503114
step29000,640,768,128,129,14.583055864401548,16.50964380575152,16.58349673479707,0.8007839714349619,1.1898360571636752,1.2086999159825125
step29000,768,896,128,129,14.586248061437901,16.220785881973292,16.290580225695333,0.7953393260211322,1.1678252891961627,1.1861895419467796
step29000,896,1024,128,129,14.615612337736234,15.986396056883407,16.031760737981624,0.7940718810068185,1.1611638642814726,1.18213923205097
step29000,1024,1152,128,129,14.651202288816314,15.892510307668505,15.946106855363647,0.7986869772882367,1.1817264038664215,1.2015601054606577
step29000,1152,1280,128,129,14.658045056746678,16.107016740857066,16.167471628770787,0.7929819207095041,1.2037488810861972,1.22805947490962
step29000,1280,1408,128,129,14.617573826682492,16.41919258987306,16.488810010642133,0.7922259496391008,1.213159105787407,1.2346431704262995
step29000,1408,1536,128,129,14.586691977811077,16.53875439389601,16.625120614010715,0.7995082237498738,1.1957492750398468,1.2181559439293261
step29000,1536,1664,128,129,14.58241097732746,16.350862559094878,16.41920418071496,0.7983526227950606,1.1730846691246173,1.1930386493091631
step29000,1664,1792,128,129,14.60340252103302,16.065542691760122,16.079893274526103,0.7930316548023649,1.160397475671762,1.1808822541660298
step29000,1792,1920,128,129,14.638022237103325,15.874476554131839,15.92521984535002,0.7977486378467217,1.1728217751827696,1.1921381196305034
step29000,1920,2048,128,129,14.66214424277828,16.00403474067732,16.06241500020143,0.7958427013335602,1.19633292013888,1.219244424625914
step37000,0,512,512,513,23.461906640342352,47.36438745523148,68.53595055428687,1.2593475767361777,2.999461476513455,5.866077151608259
step37000,512,640,128,129,16.256806085865975,25.95764355101793,38.346615294555676,0.7534937005637572,1.4150551823921602,2.2900699150424835
step37000,640,768,128,129,16.335859728322912,28.032323911897333,39.25646168248029,0.7678758622634096,1.552154997886636,2.407826325709686
step37000,768,896,128,129,17.153132231837873,29.06137206745636,38.051368790401774,0.854605235622194,1.6546379141776504,2.434524238345465
