checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,jacobian_frobenius_norm,normalized_frobenius_norm,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,lyapunov_exponent_0_1024,geometric_tangent_factor_last_256,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint
step9000,9000,1024,36,48266,christ,6,3,190905176,0.9945830702781677,0.9673280715942383,15.719315528869629,0.6947021484375,768,1024,-0.00592173367461722,-0.0029755098806645537,0.9940957652319127,38.8251953125,0.12091352045536041,46.76197325065732
step9000,9000,1024,37,14944,omed,7,3,190905176,0.9942592978477478,0.9674633741378784,15.717889785766602,0.6946391463279724,768,1024,-0.005448604519196523,-0.004222472702585434,0.9945662122040376,38.820919036865234,0.12781421840190887,46.76197325065732
step9000,9000,1024,38,49304,umu,4,3,190905176,0.9944835305213928,0.9673407077789307,15.718565940856934,0.6946690082550049,768,1024,-0.005882472406506065,-0.0027744077312025924,0.9941347954584627,38.823856353759766,0.10687605664134026,46.76197325065732
step9000,9000,1024,39,11608, tonight,5,3,190905176,0.9943022727966309,0.9673997163772583,15.7175931930542,0.6946260333061218,768,1024,-0.005454747852787493,-0.003159936086026881,0.9945601022707854,38.82147979736328,0.12633966654539108,46.76197325065732
step9000,9000,1024,40,48526, geared,8,4,190905176,0.9942975640296936,0.9675281047821045,15.71894645690918,0.6946858167648315,768,1024,-0.005900402263676236,-0.005269910738129538,0.9941169709233684,38.82148742675781,0.11975924298167229,46.76197325065732
step9000,9000,1024,41,29154, trump,7,4,190905176,0.9944212436676025,0.9675253033638,15.720013618469238,0.6947330236434937,768,1024,-0.005394069387651778,-0.003920543839137759,0.994620452482237,38.82316207885742,0.1189044788479805,46.76197325065732
step9000,9000,1024,42,39772,leman,7,4,190905176,0.9945741891860962,0.9673483371734619,15.719466209411621,0.6947088241577148,768,1024,-0.005787365885406554,-0.00338998651599761,0.9942293486566043,38.8250846862793,0.12809128686785698,46.76197325065732
step9000,9000,1024,43,50131, assortment,7,4,190905176,0.9943665862083435,0.9674698114395142,15.718938827514648,0.6946855187416077,768,1024,-0.005331729141615037,-0.003973994994105698,0.9946824592986979,38.8223762512207,0.13187480717897415,46.76197325065732
step9000,9000,1024,44,39037, Sew,9,4,190905176,0.9943675994873047,0.9673982858657837,15.718156814575195,0.6946509480476379,768,1024,-0.005630246114609856,-0.004174601427815078,0.9943855740167096,38.82234191894531,0.14307740330696106,46.76197325065732
step9000,9000,1024,45,47239, arresting,7,4,190905176,0.9945105910301208,0.9672799110412598,15.71816635131836,0.6946513652801514,768,1024,-0.005441178970329192,-0.00512336869207197,0.9945735974314678,38.824180603027344,0.17236024886369705,46.76197325065732
step9000,9000,1024,46,17077, assertion,8,4,190905176,0.9942694902420044,0.9674590826034546,15.717973709106445,0.6946428418159485,768,1024,-0.005350486874438776,-0.003616760085373953,0.9946638014858716,38.821067810058594,0.17442284524440765,46.76197325065732
step9000,9000,1024,47,35700, unemployed,9,4,190905176,0.994523286819458,0.9675713181495667,15.721402168273926,0.6947943568229675,768,1024,-0.00551584643708884,-0.0038664591610979545,0.994499337912861,38.82453155517578,0.1514861062169075,46.76197325065732
step9000,9000,1024,48,31995, outgoing,9,4,190905176,0.9944339394569397,0.9673552513122559,15.718255996704102,0.6946552991867065,768,1024,-0.005917735472410999,-0.003675991984015625,0.9940997398357401,38.82319259643555,0.12451491877436638,46.76197325065732
step9000,9000,1024,49,40092, floated,8,4,190905176,0.9944220185279846,0.9674116373062134,15.718798637390137,0.694679319858551,768,1024,-0.005411891585673307,-0.0031878805918293496,0.9946027263175367,38.82307434082031,0.13306159526109695,46.76197325065732
step9000,9000,1024,50,18001, portable,12,5,190905176,0.9942648410797119,0.9675186276435852,15.718552589416504,0.6946684122085571,768,1024,-0.005548814227215027,-0.004417080176058234,0.9944665520078505,38.821022033691406,0.1409582458436489,46.76197325065732
step9000,9000,1024,51,40610,olev,10,5,190905176,0.9941598176956177,0.9675694704055786,15.718212127685547,0.6946533918380737,768,1024,-0.005583736070994384,-0.004134980961583993,0.9944318240086639,38.81966018676758,0.13208746537566185,46.76197325065732
step9000,9000,1024,52,45782, Bread,15,5,190905176,0.9943270683288574,0.9673343896865845,15.717118263244629,0.6946050524711609,768,1024,-0.005506057120204483,-0.003811492225368156,0.9945090734296732,38.82176208496094,0.11363105475902557,46.76197325065732
step9000,9000,1024,53,31208, Alban,12,5,190905176,0.9942653775215149,0.9675832986831665,15.719274520874023,0.6947003602981567,768,1024,-0.0058305452969077565,-0.002949046724972695,0.99418641934527,38.82108688354492,0.1350288987159729,46.76197325065732
step9000,9000,1024,54,27943,gae,14,5,190905176,0.9944925308227539,0.9674487113952637,15.719836235046387,0.6947251558303833,768,1024,-0.0059093621799256955,-0.003450291157260475,0.9941080637584705,38.824058532714844,0.14668339863419533,46.76197325065732
step9000,9000,1024,55,11080, thorough,15,5,190905176,0.9945068359375,0.9672859907150269,15.718167304992676,0.6946514248847961,768,1024,-0.00532666074957617,-0.0030226166648315814,0.9946875007521319,38.824119567871094,0.13307711109519005,46.76197325065732
step9000,9000,1024,56,9554, integration,15,5,190905176,0.9942667484283447,0.9673884510993958,15.717178344726562,0.694607675075531,768,1024,-0.005914468892441843,-0.0024814080253072507,0.9941029871473414,38.820987701416016,0.1333242580294609,46.76197325065732
step9000,9000,1024,57,17954, sits,15,5,190905176,0.9942933917045593,0.9674302339553833,15.717855453491211,0.6946375966072083,768,1024,-0.005402770239462001,-0.0019810002105122683,0.9946117984747213,38.821353912353516,0.12812064588069916,46.76197325065732
step9000,9000,1024,58,12389, nit,14,5,190905176,0.9945300221443176,0.9673882722854614,15.719477653503418,0.694709300994873,768,1024,-0.005481156702717532,-0.004341289255255109,0.9945338374291118,38.82451629638672,0.14410678297281265,46.76197325065732
step9000,9000,1024,59,44251, drifting,14,5,190905176,0.9944882988929749,0.9673111438751221,15.718276977539062,0.694656252861023,768,1024,-0.005334714947833213,-0.0038005565756676052,0.9946794893740597,38.82388687133789,0.13037554547190666,46.76197325065732
